"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2021/7/1,"","10:30","17:00","10:02","21:14","10:12","","","01:00","",""
2021/7/2,"","10:30","17:00","10:00","19:14","08:14","","","01:00","",""
2021/7/3,"公休","","","","","","","","","",""
2021/7/4,"法休","","","","","","","","","",""
2021/7/5,"","10:30","17:00","09:43","19:31","08:48","","","01:00","",""
2021/7/6,"","10:30","17:00","09:32","20:06","09:34","","","01:00","",""
2021/7/7,"","10:30","17:00","10:01","20:08","09:07","","","01:00","",""
2021/7/8,"","10:30","17:00","10:01","18:23","07:22","","","01:00","",""
2021/7/9,"","10:30","17:00","10:00","19:22","08:22","","","01:00","",""
2021/7/10,"公休","","","","","","","","","",""
2021/7/11,"法休","","","","","","","","","",""
2021/7/12,"","10:30","17:00","09:51","19:31","08:40","","","01:00","",""
2021/7/13,"","10:30","17:00","09:40","18:54","08:14","","","01:00","",""
2021/7/14,"","10:30","17:00","09:41","19:07","08:26","","","01:00","",""
2021/7/15,"","10:30","17:00","09:34","19:55","09:21","","","01:00","",""
2021/7/16,"","10:30","17:00","09:38","20:10","09:32","","","01:00","",""
2021/7/17,"公休","","","","","","","","","",""
2021/7/18,"法休","","","","","","","","","",""
2021/7/19,"","10:30","17:00","09:54","20:28","09:34","","","01:00","",""
2021/7/20,"","10:30","17:00","09:39","19:09","08:30","","","01:00","",""
2021/7/21,"","10:30","17:00","09:36","19:43","09:07","","","01:00","",""
2021/7/22,"祝日,公休","","","","","","","","","",""
2021/7/23,"祝日,公休","","","","","","","","","",""
2021/7/24,"公休","","","","","","","","","",""
2021/7/25,"法休","","","","","","","","","",""
2021/7/26,"","10:30","17:00","09:50","19:19","08:29","","","01:00","",""
2021/7/27,"","10:30","17:00","09:42","19:21","08:39","","","01:00","",""
2021/7/28,"","10:30","17:00","09:42","19:22","08:40","","","01:00","",""
2021/7/29,"","10:30","17:00","09:33","17:29","06:56","","","01:00","",""
2021/7/30,"","10:30","17:00","09:20","19:16","08:56","","","01:00","",""
2021/7/31,"公休","","","","","","","","","",""
